[I 250409 18:17:07 optionslib:109] on open
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74890', 'sequence_number': 61552419, 'exchange_timestamp': 1744192800000, 'last_traded_price': 115305, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74809', 'sequence_number': 61551899, 'exchange_timestamp': 1744192800000, 'last_traded_price': 74165, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74807', 'sequence_number': 61552057, 'exchange_timestamp': 1744192800000, 'last_traded_price': 71010, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74805', 'sequence_number': 61552116, 'exchange_timestamp': 1744192800000, 'last_traded_price': 68305, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74728', 'sequence_number': 61551691, 'exchange_timestamp': 1744192800000, 'last_traded_price': 46800, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74989', 'sequence_number': 61552320, 'exchange_timestamp': 1744192800000, 'last_traded_price': 218520, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74823', 'sequence_number': 61551509, 'exchange_timestamp': 1744192800000, 'last_traded_price': 93860, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75119', 'sequence_number': 61555181, 'exchange_timestamp': 1744192802000, 'last_traded_price': 405530, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74987', 'sequence_number': 61550595, 'exchange_timestamp': 1744192799000, 'last_traded_price': 208930, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75117', 'sequence_number': 61551440, 'exchange_timestamp': 1744192800000, 'last_traded_price': 357210, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74985', 'sequence_number': 61551677, 'exchange_timestamp': 1744192800000, 'last_traded_price': 198390, 'subscription_mode_val': 'LTP'}
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74983', 'sequence_number': 61550475, 'exchange_timestamp': 1744192799000, 'last_traded_price': 193000, 'subscription_mode_val': 'LTP'}
[E 250409 18:30:23 optionslib:119] Connection closed
[W 250409 18:30:23 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[E 250409 18:30:23 optionslib:119] Connection closed
[W 250409 18:30:23 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
